date,users
2018-06-01T00:00:00+00:00,26
2018-07-01T00:00:00+00:00,87
2018-08-01T00:00:00+00:00,748
2018-09-01T00:00:00+00:00,428
2018-10-01T00:00:00+00:00,498
2018-11-01T00:00:00+00:00,521
2018-12-01T00:00:00+00:00,993
2019-01-01T00:00:00+00:00,1446
2019-02-01T00:00:00+00:00,1501
2019-03-01T00:00:00+00:00,2166
2019-04-01T00:00:00+00:00,2195
2019-05-01T00:00:00+00:00,1902
2019-06-01T00:00:00+00:00,1991
2019-07-01T00:00:00+00:00,1939
2019-08-01T00:00:00+00:00,2093
2019-09-01T00:00:00+00:00,2090
2019-10-01T00:00:00+00:00,3238
2019-11-01T00:00:00+00:00,2907
2019-12-01T00:00:00+00:00,3904
2020-01-01T00:00:00+00:00,3889
2020-02-01T00:00:00+00:00,4125
2020-03-01T00:00:00+00:00,4006
2020-04-01T00:00:00+00:00,3972
2020-05-01T00:00:00+00:00,3592
2020-06-01T00:00:00+00:00,2977
2020-07-01T00:00:00+00:00,2970
2020-08-01T00:00:00+00:00,2068
2020-09-01T00:00:00+00:00,4692
2020-10-01T00:00:00+00:00,7735
2020-11-01T00:00:00+00:00,7260
2020-12-01T00:00:00+00:00,6670
2021-01-01T00:00:00+00:00,7021
2021-02-01T00:00:00+00:00,15852
2021-03-01T00:00:00+00:00,48769
2021-04-01T00:00:00+00:00,31785
2021-05-01T00:00:00+00:00,27178
2021-06-01T00:00:00+00:00,39663
2021-07-01T00:00:00+00:00,62756
2021-08-01T00:00:00+00:00,28383
